host,app,status
S-DC-EXC0203,BitLocker,ok
S-DC-EXC0203,Anti-Malware,ok
S-DC-EXC0203,PendingReboot,ok
S-DC-EXC0204,OWA,ok
S-DC-EXC0204,MAPI,ok
S-DC-EXC0204,RPC,ok
S-DC-EXC0204,Autodiscover,ok
S-DC-EXC0204,Powershell,ok
S-DC-EXC0204,EWS,ok
S-DC-EXC0204,ECP,ok
S-DC-EXC0204,OAB,ok
S-DC-EXC0204,Services,ok
S-DC-EXC0204,Replication,ok
S-DC-EXC0204,MRS,ok
S-DC-EXC0204,MAPI-Connectivity,ok
S-DC-EXC0204,Maintenance,ok
S-DC-EXC0204,Active DBs,ok
S-DC-EXC0204,Passive DBs,ok
S-DC-EXC0204,Disks,ok
S-DC-EXC0204,BitLocker,ok
S-DC-EXC0204,Anti-Malware,ok
S-DC-EXC0204,PendingReboot,ok
S-DC-EXC0205,OWA,ok
S-DC-EXC0205,MAPI,ok
S-DC-EXC0205,RPC,ok
S-DC-EXC0205,Autodiscover,ok
S-DC-EXC0205,Powershell,ok
S-DC-EXC0205,EWS,ok
S-DC-EXC0205,ECP,ok
S-DC-EXC0205,OAB,ok
S-DC-EXC0205,Services,ok
S-DC-EXC0205,Replication,ok
S-DC-EXC0205,MRS,ok
S-DC-EXC0205,MAPI-Connectivity,ok
S-DC-EXC0205,Maintenance,ok
S-DC-EXC0205,Active DBs,ok
S-DC-EXC0205,Passive DBs,ok
S-DC-EXC0205,Disks,ok
S-DC-EXC0205,BitLocker,ok
S-DC-EXC0205,Anti-Malware,ok
S-DC-EXC0205,PendingReboot,ok
S-DC-EXC0206,OWA,ok
S-DC-EXC0206,MAPI,ok
S-DC-EXC0206,RPC,ok
S-DC-EXC0206,Autodiscover,ok
S-DC-EXC0206,Powershell,ok
S-DC-EXC0206,EWS,ok
S-DC-EXC0206,ECP,ok
S-DC-EXC0206,OAB,ok
S-DC-EXC0206,Services,ok
S-DC-EXC0206,Replication,ok
S-DC-EXC0206,MRS,ok
S-DC-EXC0206,MAPI-Connectivity,ok
S-DC-EXC0206,Maintenance,ok
S-DC-EXC0206,Active DBs,ok
S-DC-EXC0206,Passive DBs,ok
S-DC-EXC0206,Disks,ok
S-DC-EXC0206,BitLocker,ok
S-DC-EXC0206,Anti-Malware,no
